method,task,metric,value,cost_value
ours,shaping,procrustes_distance,0.9498160835080485,0.9498160835080485
ours,shaping,procrustes_distance,0.00037221756779214885,0.00037221756779214885
ours,shaping,procrustes_distance,0.00017771687043274974,0.00017771687043274974
ours,shaping,procrustes_distance,0.0004795419923127677,0.0004795419923127677
ours,shaping,procrustes_distance,0.0004901580737859132,0.0004901580737859132
ours,shaping,procrustes_distance,0.00029207464099512424,0.00029207464099512424
ours,shaping,procrustes_distance,0.00043342422593983175,0.00043342422593983175
ours,shaping,procrustes_distance,0.00024355665864643424,0.00024355665864643424
ours,shaping,procrustes_distance,0.00016169594067046617,0.00016169594067046617
ours,shaping,procrustes_distance,0.0026524339798989854,0.0026524339798989854
ours,shaping,procrustes_distance,0.00017373344014257617,0.00017373344014257617
ours,shaping,procrustes_distance,0.0003716223578425175,0.0003716223578425175
ours,shaping,procrustes_distance,0.00047734985933861493,0.00047734985933861493
ours,shaping,procrustes_distance,0.0007838672340297182,0.0007838672340297182
ours,shaping,procrustes_distance,0.03136349854669536,0.03136349854669536
ours,shaping,procrustes_distance,0.0003393811106968518,0.0003393811106968518
ours,shaping,procrustes_distance,8.221372980306785e-05,8.221372980306785e-05
ours,shaping,procrustes_distance,0.01041562559317543,0.01041562559317543
ours,shaping,procrustes_distance,0.0002139019824931096,0.0002139019824931096
ours,shaping,procrustes_distance,0.00026947039846774476,0.00026947039846774476
ours,shaping,procrustes_distance,0.6014118479932556,0.6014118479932556
ours,shaping,procrustes_distance,0.00044304587997562214,0.00044304587997562214
ours,shaping,procrustes_distance,0.0004396557695696474,0.0004396557695696474
ours,shaping,procrustes_distance,0.00025573640882163074,0.00025573640882163074
ours,shaping,procrustes_distance,4.301961223670171e-06,4.301961223670171e-06
ours,shaping,procrustes_distance,0.00033248060895981,0.00033248060895981
ours,shaping,procrustes_distance,0.5563886978657504,0.5563886978657504
ours,shaping,procrustes_distance,0.7772829763790378,0.7772829763790378
ours,shaping,procrustes_distance,0.0001414045252779482,0.0001414045252779482
ours,shaping,procrustes_distance,5.109086751694989e-05,5.109086751694989e-05
ours,shaping,procrustes_distance,0.824091203239345,0.824091203239345
ours,shaping,procrustes_distance,0.0005509990013834099,0.0005509990013834099
ours,shaping,procrustes_distance,6.602877911277195e-05,6.602877911277195e-05
ours,shaping,procrustes_distance,9.103410909976286e-05,9.103410909976286e-05
ours,shaping,procrustes_distance,0.00018955110363369422,0.00018955110363369422
ours,shaping,procrustes_distance,0.7872918225221277,0.7872918225221277
ours,shaping,procrustes_distance,0.00010631943903040724,0.00010631943903040724
ours,shaping,procrustes_distance,0.00022119495558170502,0.00022119495558170502
ours,shaping,procrustes_distance,0.0004637628222647699,0.0004637628222647699
ours,shaping,procrustes_distance,0.0002668019103800667,0.0002668019103800667
ours,shaping,procrustes_distance,9.629087500115672e-05,9.629087500115672e-05
ours,shaping,procrustes_distance,0.7760700508339206,0.7760700508339206
ours,shaping,procrustes_distance,0.37323503933167923,0.37323503933167923
ours,shaping,procrustes_distance,0.00013798425734872513,0.00013798425734872513
ours,shaping,procrustes_distance,0.6442610948769157,0.6442610948769157
ours,shaping,procrustes_distance,0.011302931951955059,0.011302931951955059
ours,shaping,procrustes_distance,0.0001652861078251248,0.0001652861078251248
ours,shaping,procrustes_distance,0.0001213340046511058,0.0001213340046511058
ours,shaping,procrustes_distance,0.00019707766449826258,0.00019707766449826258
ours,shaping,procrustes_distance,0.8127041429584745,0.8127041429584745
ours,shaping,procrustes_distance,0.00026087394593213157,0.00026087394593213157
ours,shaping,procrustes_distance,0.0003003085810996609,0.0003003085810996609
ours,encircling,mean_distance_error,0.06722622149141179,0.06722622149141179
ours,encircling,mean_distance_error,1.1105386467092344,1.1105386467092344
ours,encircling,mean_distance_error,0.03751734980259661,0.03751734980259661
ours,encircling,mean_distance_error,1.5437465106616797,1.5437465106616797
ours,encircling,mean_distance_error,0.016233799794267718,0.016233799794267718
ours,encircling,mean_distance_error,0.06796098996242106,0.06796098996242106
ours,encircling,mean_distance_error,0.8493233492495579,0.8493233492495579
ours,encircling,mean_distance_error,0.01759448998813688,0.01759448998813688
ours,encircling,mean_distance_error,0.0595178365017718,0.0595178365017718
ours,encircling,mean_distance_error,0.3035635383536621,0.3035635383536621
ours,encircling,mean_distance_error,0.1956395136757069,0.1956395136757069
ours,encircling,mean_distance_error,1.6948618130614148,1.6948618130614148
ours,encircling,mean_distance_error,0.8114818846686885,0.8114818846686885
ours,encircling,mean_distance_error,0.013179629456942973,0.013179629456942973
ours,encircling,mean_distance_error,0.03787271305950483,0.03787271305950483
ours,encircling,mean_distance_error,1.6807937082440647,1.6807937082440647
ours,encircling,mean_distance_error,0.05012815068633388,0.05012815068633388
ours,encircling,mean_distance_error,1.5947699155723953,1.5947699155723953
ours,encircling,mean_distance_error,0.297134085964821,0.297134085964821
ours,encircling,mean_distance_error,1.4419487476373831,1.4419487476373831
ours,encircling,mean_distance_error,3.12538696576422,3.12538696576422
ours,encircling,mean_distance_error,0.039084153677580426,0.039084153677580426
ours,encircling,mean_distance_error,1.9063487106251944,1.9063487106251944
ours,encircling,mean_distance_error,1.200735039057153,1.200735039057153
ours,encircling,mean_distance_error,0.010454752924294486,0.010454752924294486
ours,encircling,mean_distance_error,0.037913866607293734,0.037913866607293734
ours,encircling,mean_distance_error,0.023304502460014715,0.023304502460014715
ours,encircling,mean_distance_error,0.04217588336979269,0.04217588336979269
ours,encircling,mean_distance_error,0.0455899919645576,0.0455899919645576
ours,encircling,mean_distance_error,0.17601240549974242,0.17601240549974242
ours,encircling,mean_distance_error,0.0715201437937389,0.0715201437937389
ours,encircling,mean_distance_error,0.021252954310829852,0.021252954310829852
ours,encircling,mean_distance_error,0.060406434395272136,0.060406434395272136
ours,encircling,mean_distance_error,1.9325088305050706,1.9325088305050706
ours,encircling,mean_distance_error,0.013440704464645828,0.013440704464645828
ours,encircling,mean_distance_error,0.05718072912767924,0.05718072912767924
ours,encircling,mean_distance_error,0.06832365346232468,0.06832365346232468
ours,encircling,mean_distance_error,0.022402490807873376,0.022402490807873376
ours,encircling,mean_distance_error,0.03076264098245089,0.03076264098245089
ours,encircling,mean_distance_error,0.08553647116366499,0.08553647116366499
ours,encircling,mean_distance_error,1.3482603192367388,1.3482603192367388
ours,encircling,mean_distance_error,0.02755692912737669,0.02755692912737669
ours,encircling,mean_distance_error,0.024204816878166724,0.024204816878166724
ours,encircling,mean_distance_error,0.16135004344205253,0.16135004344205253
ours,encircling,mean_distance_error,0.032547469447461674,0.032547469447461674
ours,encircling,mean_distance_error,0.7304230725496862,0.7304230725496862
ours,encircling,mean_distance_error,0.9167038142739011,0.9167038142739011
ours,encircling,mean_distance_error,0.044730210649714754,0.044730210649714754
ours,encircling,mean_distance_error,1.5001395112737648,1.5001395112737648
ours,encircling,mean_distance_error,2.4812759826756743,2.4812759826756743
ours,encircling,mean_distance_error,0.012591112679907646,0.012591112679907646
ours,encircling,mean_distance_error,0.02481257989720372,0.02481257989720372
ours,encircling,mean_distance_error,1.3848346965146108,1.3848346965146108
ours,encircling,mean_distance_error,0.040742789579762295,0.040742789579762295
ours,encircling,mean_distance_error,2.935547648451131,2.935547648451131
ours,encircling,mean_distance_error,1.56499861023552,1.56499861023552
ours,encircling,mean_distance_error,1.7572670557353918,1.7572670557353918
ours,encircling,mean_distance_error,1.214127242980399,1.214127242980399
ours,encircling,mean_distance_error,0.9637003037876365,0.9637003037876365
ours,encircling,mean_distance_error,0.07872375663939467,0.07872375663939467
ours,encircling,mean_distance_error,0.03315015385461123,0.03315015385461123
ours,encircling,mean_distance_error,0.9304018860706114,0.9304018860706114
ours,encircling,mean_distance_error,0.8408638962254168,0.8408638962254168
ours,encircling,mean_distance_error,2.1260448306260136,2.1260448306260136
ours,encircling,mean_distance_error,0.029488714298993374,0.029488714298993374
ours,encircling,mean_distance_error,0.09215734746621318,0.09215734746621318
ours,encircling,mean_distance_error,0.7397153059297521,0.7397153059297521
ours,encircling,mean_distance_error,0.9649956167548233,0.9649956167548233
ours,encircling,mean_distance_error,0.1504280154724573,0.1504280154724573
ours,encircling,mean_distance_error,0.09728315797100708,0.09728315797100708
ours,encircling,mean_distance_error,1.4061502144254288,1.4061502144254288
ours,encircling,mean_distance_error,0.01906908557162527,0.01906908557162527
ours,encircling,mean_distance_error,1.6175024439355592,1.6175024439355592
ours,encircling,mean_distance_error,0.03210664213522737,0.03210664213522737
ours,encircling,mean_distance_error,0.9748069064506147,0.9748069064506147
ours,encircling,mean_distance_error,1.6763682184831723,1.6763682184831723
ours,encircling,mean_distance_error,0.15370864943524135,0.15370864943524135
ours,encircling,mean_distance_error,0.8722466437390449,0.8722466437390449
ours,encircling,mean_distance_error,2.002129196792142,2.002129196792142
ours,encircling,mean_distance_error,1.4423939705849633,1.4423939705849633
ours,encircling,mean_distance_error,1.4594321748728207,1.4594321748728207
ours,encircling,mean_distance_error,0.09370074846806357,0.09370074846806357
ours,encircling,mean_distance_error,0.023630732639901397,0.023630732639901397
ours,encircling,mean_distance_error,1.401974716309214,1.401974716309214
ours,encircling,mean_distance_error,0.03940696295599603,0.03940696295599603
ours,encircling,mean_distance_error,1.4721680630909983,1.4721680630909983
ours,encircling,mean_distance_error,0.013603209569264882,0.013603209569264882
ours,encircling,mean_distance_error,0.05864031761515435,0.05864031761515435
ours,encircling,mean_distance_error,0.03347928633696723,0.03347928633696723
ours,encircling,mean_distance_error,0.068637748440962,0.068637748440962
ours,encircling,mean_distance_error,0.03683212755912272,0.03683212755912272
ours,encircling,mean_distance_error,0.03400741890022383,0.03400741890022383
ours,encircling,mean_distance_error,0.01767786482302149,0.01767786482302149
ours,encircling,mean_distance_error,1.764821944783848,1.764821944783848
ours,encircling,mean_distance_error,1.880415042395545,1.880415042395545
ours,encircling,mean_distance_error,0.022474956041435606,0.022474956041435606
ours,encircling,mean_distance_error,0.014528434908455401,0.014528434908455401
ours,encircling,mean_distance_error,0.4443213995290323,0.4443213995290323
ours,encircling,mean_distance_error,1.7901241381386928,1.7901241381386928
ours,covering,area_ratio,0.8962835955713621,0.10371640442863794
ours,covering,variance_nearest_neighbor_distance,0.0021417658340653943,0.0021417658340653943
ours,covering,area_ratio,0.9518567153311712,0.04814328466882878
ours,covering,variance_nearest_neighbor_distance,0.006881680266120878,0.006881680266120878
ours,covering,area_ratio,0.980325520701503,0.019674479298496972
ours,covering,variance_nearest_neighbor_distance,0.0023582486038160274,0.0023582486038160274
ours,covering,area_ratio,0.9014539060348737,0.09854609396512626
ours,covering,variance_nearest_neighbor_distance,0.00012817336605329627,0.00012817336605329627
ours,covering,area_ratio,0.9426108228822836,0.057389177117716406
ours,covering,variance_nearest_neighbor_distance,0.025802488428536698,0.025802488428536698
ours,covering,area_ratio,0.898902375269123,0.10109762473087702
ours,covering,variance_nearest_neighbor_distance,0.00021153279105775956,0.00021153279105775956
ours,covering,area_ratio,0.24832261586857823,0.7516773841314217
ours,covering,variance_nearest_neighbor_distance,0.008220070182175682,0.008220070182175682
ours,covering,area_ratio,0.23879598061050458,0.7612040193894954
ours,covering,variance_nearest_neighbor_distance,0.004585756425263477,0.004585756425263477
ours,covering,area_ratio,0.8934999672367487,0.10650003276325126
ours,covering,variance_nearest_neighbor_distance,0.00018878345240154178,0.00018878345240154178
ours,covering,area_ratio,1.061965342405905,-0.06196534240590501
ours,covering,variance_nearest_neighbor_distance,0.001201719269136442,0.001201719269136442
ours,covering,area_ratio,0.023852797838321955,0.976147202161678
ours,covering,variance_nearest_neighbor_distance,0.0001058175401833537,0.0001058175401833537
ours,covering,area_ratio,0.8835196990853363,0.11648030091466366
ours,covering,variance_nearest_neighbor_distance,0.00013311975925641074,0.00013311975925641074
ours,covering,area_ratio,0.24567155223267373,0.7543284477673262
ours,covering,variance_nearest_neighbor_distance,0.0009908065559231798,0.0009908065559231798
ours,covering,area_ratio,0.019316236988699213,0.9806837630113008
ours,covering,variance_nearest_neighbor_distance,1.6132244571306015e-05,1.6132244571306015e-05
ours,covering,area_ratio,0.05909359920159452,0.9409064007984055
ours,covering,variance_nearest_neighbor_distance,0.00014740030918366424,0.00014740030918366424
ours,covering,area_ratio,1.6395262787895408,-0.6395262787895408
ours,covering,variance_nearest_neighbor_distance,0.1492445336825858,0.1492445336825858
ours,covering,area_ratio,0.023856952879886192,0.9761430471201138
ours,covering,variance_nearest_neighbor_distance,0.0003436418285694855,0.0003436418285694855
ours,covering,area_ratio,0.005060251179354908,0.9949397488206451
ours,covering,variance_nearest_neighbor_distance,0.00012435394666634615,0.00012435394666634615
ours,covering,area_ratio,0.2739740564155486,0.7260259435844514
ours,covering,variance_nearest_neighbor_distance,0.0033017750519179585,0.0033017750519179585
ours,covering,area_ratio,0.889461242363985,0.11053875763601495
ours,covering,variance_nearest_neighbor_distance,0.0001760496684015786,0.0001760496684015786
ours,covering,area_ratio,0.9900723721731733,0.009927627826826657
ours,covering,variance_nearest_neighbor_distance,0.0019458263630611373,0.0019458263630611373
ours,covering,area_ratio,0.8952402788430437,0.10475972115695631
ours,covering,variance_nearest_neighbor_distance,7.767099778048002e-05,7.767099778048002e-05
ours,covering,area_ratio,0.43370493249787134,0.5662950675021287
ours,covering,variance_nearest_neighbor_distance,0.02336353681075251,0.02336353681075251
ours,covering,area_ratio,0.8984264744975285,0.10157352550247145
ours,covering,variance_nearest_neighbor_distance,0.00046840792619147475,0.00046840792619147475
ours,covering,area_ratio,1.6652195593980357,-0.6652195593980357
ours,covering,variance_nearest_neighbor_distance,0.3396404478538038,0.3396404478538038
